"customer_id","customer_name","gender","age","country","signup_date"
"CUST1001","Aisha Okonkwo","F","28","Nigeria","02/14/2023"
"CUST1002","James Muriuki","M","35","Kenya","03/21/2023"
"CUST1003","Nomvula Dlamini","F","42","South Africa","01/08/2023"
"CUST1004","Kwame Boateng","M","31","Ghana","04/12/2023"
"CUST1005","Fatima Hassan","F","26","Egypt","05/19/2023"
"CUST1006","David Omondi","M","39","Kenya","02/27/2023"
"CUST1007","Chinelo Eze","F","33","Nigeria","06/03/2023"
"CUST1008","Tumi Mokoena","F","29","South Africa","07/11/2023"
"CUST1009","Emmanuel Mensah","M","45","Ghana","08/22/2023"
"CUST1010","Mona Abdelrahman","F","30","Egypt","09/05/2023"
"CUST1011","Grace Wanjiku","F","27","Kenya","10/14/2023"
"CUST1012","Victor Adebayo","M","38","Nigeria","11/01/2023"
"CUST1013","Lerato Nkosi","F","34","South Africa","12/19/2023"
"CUST1014","Isaac Owusu","M","41","Ghana","01/07/2024"
"CUST1015","Rania Mahmoud","F","25","Egypt","02/13/2024"
"CUST1016","Paul Kamau","M","36","Kenya","03/30/2023"
"CUST1017","Amaka Nwosu","F","32","Nigeria","04/18/2023"
"CUST1018","Sipho Zungu","M","40","South Africa","05/25/2023"
"CUST1019","Adwoa Frimpong","F","29","Ghana","06/09/2023"
"CUST1020","Youssef Ali","M","33","Egypt","07/16/2023"
"CUST1021","Esther Njeri","F","31","Kenya","08/04/2023"
"CUST1022","Chidi Okeke","M","37","Nigeria","09/11/2023"
"CUST1023","Naledi Mthembu","F","28","South Africa","10/20/2023"
"CUST1024","Kofi Asare","M","44","Ghana","11/28/2023"
"CUST1025","Nadia Gamal","F","26","Egypt","12/15/2023"
"CUST1026","Simon Kiprop","M","35","Kenya","01/03/2024"
"CUST1027","Uchenna Obi","F","30","Nigeria","02/10/2024"
"CUST1028","Thabo Mabuza","M","39","South Africa","03/19/2024"
"CUST1029","Abena Osei","F","27","Ghana","04/06/2024"
"CUST1030","Karim Hassan","M","32","Egypt","05/14/2024"
"CUST1031","Lucy Wambui","F","29","Kenya","06/22/2023"
"CUST1032","Oliver Chukwu","M","41","Nigeria","07/30/2023"
"CUST1033","Zanele Khumalo","F","33","South Africa","08/17/2023"
"CUST1034","Daniel Agyemang","M","46","Ghana","09/24/2023"
"CUST1035","Sara Mostafa","F","24","Egypt","10/11/2023"
"CUST1036","Moses Mutai","M","37","Kenya","11/18/2023"
"CUST1037","Chioma Ibeh","F","31","Nigeria","12/06/2023"
"CUST1038","Jabulani Dube","M","40","South Africa","01/13/2024"
"CUST1039","Faustina Amoah","F","28","Ghana","02/20/2024"
"CUST1040","Ahmed El-Sayed","M","30","Egypt","03/09/2024"
"CUST1041","Rebecca Achieng","F","26","Kenya","04/16/2024"
"CUST1042","Emeka Nwachukwu","M","38","Nigeria","05/04/2024"
"CUST1043","Palesa Mokoena","F","35","South Africa","06/11/2023"
"CUST1044","Joseph Kofi","M","42","Ghana","07/19/2023"
"CUST1045","Layla Ibrahim","F","27","Egypt","08/26/2023"
"CUST1046","Isaac Otieno","M","34","Kenya","09/13/2023"
"CUST1047","Blessing Okafor","F","32","Nigeria","10/21/2023"
"CUST1048","Musa Ndlovu","M","39","South Africa","11/08/2023"
"CUST1049","Priscilla Yeboah","F","30","Ghana","12/16/2023"
"CUST1050","Omar Farouk","M","31","Egypt","01/23/2024"
"CUST1051","Anne Wangari","F","28","Kenya","02/11/2024"
"CUST1052","Tunde Adeyemi","M","36","Nigeria","03/20/2024"
"CUST1053","Nomsa Buthelezi","F","33","South Africa","04/07/2024"
"CUST1054","Samuel Danso","M","45","Ghana","05/15/2024"
"CUST1055","Hana Ramadan","F","25","Egypt","06/03/2023"
"CUST1056","Eric Langat","M","37","Kenya","07/11/2023"
"CUST1057","Ifunanya Eze","F","29","Nigeria","08/19/2023"
"CUST1058","Sibusiso Mthethwa","M","41","South Africa","09/26/2023"
"CUST1059","Comfort Adu","F","27","Ghana","10/14/2023"
"CUST1060","Khaled Mahmoud","M","32","Egypt","11/21/2023"
"CUST1061","Mary Njoki","F","30","Kenya","12/09/2023"
"CUST1062","Abdul Ibrahim","M","38","Nigeria","01/16/2024"
